Date,Flights Climbed (count),Step Count (count),Walking + Running Distance (mi),Day of Week,Gonzaga
2021-02-19 00:00:00,13.0,7326.0,3.35,4,yes
2021-02-20 00:00:00,9.0,2903.0,1.34,5,yes
2021-02-21 00:00:00,4.0,2037.0,0.89,6,yes
2021-02-22 00:00:00,16.0,7079.0,3.45,0,yes
2021-02-23 00:00:00,9.0,3001.0,1.47,1,yes
2021-02-24 00:00:00,6.0,3772.0,1.83,2,yes
2021-02-25 00:00:00,12.0,4782.0,2.33,3,yes
2021-02-26 00:00:00,11.0,5710.0,3.01,4,yes
2021-02-27 00:00:00,6.0,3500.0,1.64,5,yes
2021-02-28 00:00:00,9.0,3815.0,1.8,6,yes
2021-03-01 00:00:00,11.0,7130.0,3.44,0,yes
2021-03-02 00:00:00,16.0,5703.0,2.91,1,yes
2021-03-03 00:00:00,10.0,4533.0,2.1,2,yes
2021-03-04 00:00:00,6.0,3597.0,2.03,3,yes
2021-03-05 00:00:00,8.0,4021.0,1.88,4,yes
2021-03-06 00:00:00,4.0,2015.0,0.918,5,yes
2021-03-07 00:00:00,14.0,3063.0,1.34,6,yes
2021-03-08 00:00:00,11.0,3634.0,1.79,0,yes
2021-03-09 00:00:00,10.0,2925.0,1.36,1,yes
2021-03-10 00:00:00,9.0,3578.0,1.69,2,yes
2021-03-11 00:00:00,8.0,2187.0,1.05,3,yes
2021-03-12 00:00:00,10.0,3541.0,1.71,4,yes
2021-03-13 00:00:00,7.0,3880.0,1.91,5,yes
2021-03-14 00:00:00,5.0,1913.0,0.916,6,yes
2021-03-15 00:00:00,6.0,3816.0,1.86,0,yes
2021-03-16 00:00:00,7.0,3048.0,1.6,1,yes
2021-03-17 00:00:00,6.0,1871.0,0.982,2,yes
2021-03-18 00:00:00,6.0,4188.0,2.16,3,yes
2021-03-19 00:00:00,3.0,2435.0,1.16,4,yes
2021-03-20 00:00:00,8.0,4052.0,1.94,5,yes
2021-03-21 00:00:00,5.0,1752.0,0.811,6,yes
2021-03-22 00:00:00,4.0,1424.0,0.653,0,yes
2021-03-23 00:00:00,6.0,1880.0,0.853,1,yes
2021-03-24 00:00:00,7.0,2858.0,1.25,2,yes
2021-03-25 00:00:00,2.0,2818.0,1.3,3,yes
2021-03-26 00:00:00,12.0,5555.0,2.7,4,yes
2021-03-27 00:00:00,7.0,3594.0,1.77,5,yes
2021-03-28 00:00:00,8.0,3634.0,1.81,6,yes
2021-03-29 00:00:00,7.0,3867.0,1.9,0,yes
2021-03-30 00:00:00,9.0,5725.0,2.94,1,yes
2021-03-31 00:00:00,6.0,2582.0,1.23,2,yes
2021-04-01 00:00:00,1.0,894.0,0.433,3,yes
2021-04-02 00:00:00,9.0,3932.0,2.0,4,yes
2021-04-03 00:00:00,8.0,2716.0,1.22,5,yes
2021-04-04 00:00:00,3.0,1576.0,0.691,6,yes
2021-04-05 00:00:00,12.0,6025.0,3.08,0,yes
2021-04-06 00:00:00,30.0,11261.0,5.53,1,yes
2021-04-07 00:00:00,5.0,4413.0,2.01,2,yes
2021-04-08 00:00:00,5.0,3399.0,1.66,3,yes
2021-04-09 00:00:00,6.0,3929.0,1.87,4,yes
2021-04-10 00:00:00,5.0,2424.0,1.19,5,yes
2021-04-11 00:00:00,3.0,2703.0,1.26,6,yes
2021-04-12 00:00:00,8.0,4230.0,2.03,0,yes
2021-04-13 00:00:00,3.0,2220.0,1.09,1,yes
2021-04-14 00:00:00,4.0,2507.0,1.17,2,yes
2021-04-15 00:00:00,5.0,2941.0,1.4,3,yes
2021-04-16 00:00:00,9.0,5410.0,2.6,4,yes
2021-04-17 00:00:00,2.0,6809.0,3.19,5,yes
2021-04-18 00:00:00,5.0,3603.0,1.68,6,yes
2021-04-19 00:00:00,7.0,4195.0,1.94,0,yes
2021-04-20 00:00:00,4.0,2846.0,1.36,1,yes
2021-04-21 00:00:00,6.0,3269.0,1.54,2,yes
2021-04-22 00:00:00,11.0,7824.0,3.51,3,yes
2021-04-23 00:00:00,10.0,4211.0,2.08,4,yes
2021-04-24 00:00:00,8.0,2452.0,1.15,5,yes
2021-04-25 00:00:00,3.0,2410.0,1.19,6,yes
2021-04-26 00:00:00,7.0,4763.0,2.31,0,yes
2021-04-27 00:00:00,5.0,3595.0,1.66,1,yes
2021-04-28 00:00:00,5.0,4837.0,2.14,2,yes
2021-04-29 00:00:00,6.0,4472.0,2.05,3,yes
2021-04-30 00:00:00,2.0,7362.0,3.61,4,yes
2021-05-01 00:00:00,8.0,11033.0,5.28,5,yes
2021-05-02 00:00:00,9.0,6384.0,3.14,6,yes
2021-05-03 00:00:00,6.0,3740.0,1.73,0,yes
2021-05-04 00:00:00,6.0,3742.0,1.74,1,yes
2021-05-05 00:00:00,7.0,4659.0,2.07,2,yes
2021-05-06 00:00:00,3.0,3047.0,1.42,3,yes
2021-05-07 00:00:00,24.0,6685.0,2.9,4,yes
2021-05-08 00:00:00,11.0,4161.0,1.97,5,yes
2021-05-09 00:00:00,9.0,3856.0,1.66,6,yes
2021-05-10 00:00:00,8.0,9395.0,4.06,0,yes
2021-05-11 00:00:00,13.0,11040.0,4.98,1,yes
2021-05-12 00:00:00,8.0,3806.0,1.74,2,yes
2021-05-13 00:00:00,13.0,6495.0,3.05,3,yes
2021-05-14 00:00:00,19.0,7495.0,3.35,4,yes
2021-05-15 00:00:00,14.0,8976.0,3.77,5,yes
2021-05-16 00:00:00,6.0,6171.0,2.71,6,yes
2021-05-17 00:00:00,11.0,4935.0,2.15,0,yes
2021-05-18 00:00:00,8.0,5859.0,2.48,1,yes
2021-05-19 00:00:00,7.0,3709.0,1.74,2,yes
2021-05-20 00:00:00,4.0,2935.0,1.25,3,yes
2021-05-21 00:00:00,11.0,10001.0,4.48,4,yes
2021-05-22 00:00:00,13.0,5831.0,2.7,5,yes
2021-05-23 00:00:00,8.0,2495.0,1.11,6,yes
2021-05-24 00:00:00,12.0,7686.0,3.65,0,yes
2021-05-25 00:00:00,15.0,7284.0,3.31,1,yes
2021-05-26 00:00:00,15.0,13135.0,5.83,2,yes
2021-05-27 00:00:00,10.0,6881.0,3.12,3,yes
2021-05-28 00:00:00,8.0,6056.0,2.61,4,yes
2021-05-29 00:00:00,3.0,7638.0,3.14,5,yes
2021-05-30 00:00:00,8.0,7420.0,3.42,6,yes
2021-05-31 00:00:00,9.0,5649.0,2.58,0,yes
2021-06-01 00:00:00,5.0,8994.0,3.95,1,yes
2021-06-02 00:00:00,9.0,5377.0,2.45,2,yes
2021-06-03 00:00:00,11.0,4473.0,1.97,3,yes
2021-06-04 00:00:00,16.0,4018.0,1.8,4,yes
2021-06-05 00:00:00,8.0,4706.0,2.08,5,yes
2021-06-06 00:00:00,5.0,6299.0,2.67,6,yes
2021-06-07 00:00:00,8.0,5647.0,2.33,0,yes
2021-06-08 00:00:00,6.0,10372.0,5.23,1,yes
2021-06-09 00:00:00,9.0,6647.0,2.89,2,yes
2021-06-10 00:00:00,9.0,8276.0,3.84,3,yes
2021-06-11 00:00:00,7.0,5048.0,2.27,4,yes
2021-06-12 00:00:00,5.0,11848.0,5.76,5,yes
2021-06-13 00:00:00,8.0,4425.0,2.05,6,yes
2021-06-14 00:00:00,11.0,4110.0,1.77,0,yes
2021-06-15 00:00:00,6.0,4473.0,1.96,1,yes
2021-06-16 00:00:00,7.0,19150.0,8.76,2,yes
2021-06-17 00:00:00,6.0,3137.0,1.43,3,yes
2021-06-18 00:00:00,26.0,7106.0,3.17,4,yes
2021-06-19 00:00:00,8.0,16449.0,8.58,5,yes
2021-06-20 00:00:00,6.0,7544.0,3.86,6,yes
2021-06-21 00:00:00,5.0,4149.0,1.87,0,yes
2021-06-22 00:00:00,11.0,4021.0,1.77,1,yes
2021-06-23 00:00:00,9.0,3321.0,1.46,2,yes
2021-06-24 00:00:00,6.0,17645.0,9.31,3,yes
2021-06-25 00:00:00,6.0,5310.0,2.39,4,yes
2021-06-26 00:00:00,3.0,19145.0,8.71,5,yes
2021-06-27 00:00:00,4.0,15821.0,7.47,6,yes
2021-06-28 00:00:00,2.0,3278.0,1.52,0,yes
2021-06-29 00:00:00,9.0,10415.0,5.14,1,yes
2021-06-30 00:00:00,12.0,15721.0,7.65,2,yes
2021-07-01 00:00:00,14.0,12048.0,5.65,3,yes
2021-07-02 00:00:00,14.0,5931.0,2.57,4,yes
2021-07-03 00:00:00,41.0,11806.0,5.15,5,yes
2021-07-04 00:00:00,38.0,8042.0,3.57,6,yes
2021-07-05 00:00:00,39.0,6909.0,3.1,0,yes
2021-07-06 00:00:00,17.0,9069.0,3.9,1,yes
2021-07-07 00:00:00,8.0,7942.0,3.31,2,yes
2021-07-08 00:00:00,29.0,10257.0,4.36,3,yes
2021-07-09 00:00:00,20.0,8085.0,3.42,4,yes
2021-07-10 00:00:00,28.0,6604.0,2.96,5,yes
2021-07-11 00:00:00,21.0,5764.0,2.63,6,yes
2021-07-12 00:00:00,16.0,5274.0,2.37,0,yes
2021-07-13 00:00:00,32.0,4114.0,1.86,1,yes
2021-07-14 00:00:00,13.0,5544.0,2.43,2,yes
2021-07-15 00:00:00,25.0,6871.0,3.09,3,yes
2021-07-16 00:00:00,36.0,7336.0,3.18,4,yes
2021-07-17 00:00:00,15.0,7633.0,3.44,5,yes
2021-07-18 00:00:00,14.0,8873.0,3.71,6,yes
2021-07-19 00:00:00,5.0,6730.0,2.81,0,yes
2021-07-20 00:00:00,11.0,12289.0,5.36,1,yes
2021-07-21 00:00:00,6.0,3124.0,1.38,2,yes
2021-07-22 00:00:00,11.0,15192.0,7.24,3,yes
2021-07-23 00:00:00,13.0,8409.0,3.92,4,yes
2021-07-24 00:00:00,8.0,13302.0,6.15,5,yes
2021-07-25 00:00:00,10.0,5660.0,2.45,6,yes
2021-07-26 00:00:00,18.0,4608.0,2.04,0,yes
2021-07-27 00:00:00,12.0,5367.0,2.34,1,yes
2021-07-28 00:00:00,8.0,10555.0,4.87,2,yes
2021-07-29 00:00:00,7.0,5363.0,2.33,3,yes
2021-07-30 00:00:00,7.0,16455.0,7.61,4,yes
2021-07-31 00:00:00,5.0,14155.0,6.78,5,yes
2021-08-01 00:00:00,6.0,8137.0,3.68,6,yes
2021-08-02 00:00:00,9.0,5499.0,2.36,0,yes
2021-08-03 00:00:00,13.0,13292.0,6.31,1,yes
2021-08-04 00:00:00,11.0,13701.0,6.13,2,yes
2021-08-05 00:00:00,11.0,3407.0,1.53,3,yes
2021-08-06 00:00:00,12.0,3290.0,1.51,4,yes
2021-08-07 00:00:00,14.0,5192.0,2.31,5,yes
2021-08-08 00:00:00,8.0,5181.0,2.46,6,yes
2021-08-09 00:00:00,10.0,5346.0,2.32,0,yes
2021-08-10 00:00:00,38.0,13259.0,5.77,1,yes
2021-08-11 00:00:00,11.0,12143.0,5.79,2,yes
2021-08-12 00:00:00,8.0,10090.0,4.58,3,yes
2021-08-13 00:00:00,7.0,6681.0,3.05,4,yes
2021-08-14 00:00:00,5.0,3251.0,1.45,5,yes
2021-08-15 00:00:00,1.0,646.0,0.3,6,yes
2021-08-16 00:00:00,17.0,9094.0,4.27,0,yes
2021-08-17 00:00:00,11.0,8968.0,4.21,1,yes
2021-08-18 00:00:00,12.0,4773.0,2.17,2,yes
2021-08-19 00:00:00,10.0,8029.0,3.62,3,yes
2021-08-20 00:00:00,6.0,10066.0,4.75,4,yes
2021-08-21 00:00:00,8.0,4887.0,2.41,5,yes
2021-08-22 00:00:00,8.0,7639.0,3.59,6,yes
2021-08-23 00:00:00,51.0,13186.0,6.22,0,yes
2021-08-24 00:00:00,14.0,14971.0,7.55,1,yes
2021-08-25 00:00:00,16.0,10457.0,5.13,2,yes
2021-08-26 00:00:00,2.0,4460.0,2.24,3,yes
2021-08-27 00:00:00,37.0,14283.0,6.59,4,yes
2021-08-28 00:00:00,13.0,11874.0,5.73,5,yes
